ID,Body,Team,Accessories,Jersey,Hair,Role,Number,Dunks,Shooting,Playmaking,Defense,Image url,Title,Description,URL,Overall
1,Human III,Helena Pronghorns,None,Away,Light Brown Short,Player,57,73,91,73,76,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/1.png,BALLER #1,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//1,78.25
2,Human II,Portland Bats,None,Away,Crazy Blue,Player,4,83,93,78,82,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/2.png,BALLER #2,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//2,84
3,Human I,Alaska Whales,None,Away,Brown Moptop,Player,45,90,99,76,90,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/3.png,BALLER #3,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//3,88.75
4,Human IV,Alaska Whales,None,Away,Thinning,Player,18,98,78,82,70,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/4.png,BALLER #4,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//4,82
5,Human II,Iowa City Rattlesnakes,Armband Headband,Away,Blonde Crew,Player,26,76,80,65,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/5.png,BALLER #5,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//5,74.5
6,Human III,Helena Pronghorns,None,Away,Brown Pompadour,Player,1,78,72,66,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/6.png,BALLER #6,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//6,72.25
7,Human IV,Alaska Whales,None,Away,Red Crew,Player,84,73,84,80,81,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/7.png,BALLER #7,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//7,79.5
8,Human I,Las Vegas Scorpions,None,Away,Cheetah,Player,92,85,85,92,85,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/8.png,BALLER #8,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//8,86.75
9,Human III,Helena Pronghorns,None,Away,Black Pompadour,Player,3,75,66,93,93,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/9.png,BALLER #9,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//9,81.75
10,Human II,Las Vegas Scorpions,None,Away,Afro,Player,61,76,82,81,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/10.png,BALLER #10,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//10,79.25
11,Human V,Tallahassee Tarantulas,None,Away,Brown Cowlick,Player,2,82,75,84,76,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/11.png,BALLER #11,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//11,79.25
12,Human IV,Portland Bats,None,Away,Blonde Crewcut,Player,69,76,78,91,90,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/12.png,BALLER #12,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//12,83.75
13,Human IV,Alaska Whales,None,Away,Crazy Orange,Player,5,86,80,66,81,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/13.png,BALLER #13,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//13,78.25
14,Human I,Alaska Whales,None,Away,Bedhead,Player,60,82,81,83,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/14.png,BALLER #14,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//14,80.75
15,Human II,Helena Pronghorns,None,Away,Crazy Purple,Player,25,86,91,73,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/15.png,BALLER #15,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//15,81.75
16,Human I,Helena Pronghorns,None,Away,Brown Pompadour,Player,83,77,80,83,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/16.png,BALLER #16,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//16,80.75
17,Human V,Iowa City Rattlesnakes,None,Away,Thinning,Player,62,82,86,88,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/17.png,BALLER #17,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//17,85.5
18,Human IV,Alaska Whales,None,Away,Cheetah,Player,46,68,72,96,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/18.png,BALLER #18,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//18,78.5
19,Human II,Boulder Elks,None,Away,Brown Moptop,Player,64,85,80,92,72,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/19.png,BALLER #19,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//19,82.25
20,Human IV,Portland Bats,None,Away,Brown Moptop,Player,42,80,76,77,84,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/20.png,BALLER #20,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//20,79.25
21,Human IV,Helena Pronghorns,None,Away,Thinning,Player,54,73,74,80,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/21.png,BALLER #21,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//21,75
22,Human I,Portland Bats,None,Away,Crazy Orange,Player,63,86,81,90,81,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/22.png,BALLER #22,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//22,84.5
23,Human II,Iowa City Rattlesnakes,None,Away,Blonde Short,Player,97,74,94,72,81,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/23.png,BALLER #23,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//23,80.25
24,Human I,Alaska Whales,None,Away,Crazy Orange,Player,95,75,73,80,85,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/24.png,BALLER #24,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//24,78.25
25,Human V,Helena Pronghorns,None,Away,Afro,Player,10,77,78,80,97,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/25.png,BALLER #25,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//25,83
26,Human III,Portland Bats,None,Away,Crazy Blue,Player,39,72,67,82,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/26.png,BALLER #26,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//26,73.75
27,Human III,San Diego Keepers,None,Away,Crazy Purple,Player,22,86,88,78,75,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/27.png,BALLER #27,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//27,81.75
28,Human III,Helena Pronghorns,None,Away,Black Moptop,Player,58,82,78,83,82,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/28.png,BALLER #28,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//28,81.25
29,Human IV,Iowa City Rattlesnakes,None,Away,Black Moptop,Player,11,90,83,92,99,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/29.png,BALLER #29,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//29,91
30,Human IV,Tallahassee Tarantulas,None,Away,Blonde Crewcut,Player,14,86,74,80,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/30.png,BALLER #30,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//30,78.5
31,Human V,Boulder Elks,None,Away,Brown Pompadour,Player,61,60,77,60,66,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/31.png,BALLER #31,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//31,65.75
32,Human IV,Tallahassee Tarantulas,None,Away,Brown Cowlick,Player,2,75,84,84,94,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/32.png,BALLER #32,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//32,84.25
